"AIQ","HCI","SD","BF","NAOS","EL","NI","AGNT"
38.7,0.4,22.2,BF20,20,10k,10000,Q_l#4
33.8,0.4,21.4,BF20,20,10k,10000,Q_l#5
40.9,0.4,20.4,BF20,20,10k,10000,Q_0#1
41.1,0.4,21.2,BF20,20,10k,10000,Q_0#2
40.5,0.4,21.9,BF20,20,10k,10000,Q_0#3
36.9,0.4,21.6,BF20,20,10k,10000,Q_0#4
31.3,0.4,20.4,BF20,20,10k,10000,Q_0#5
48.1,0.5,23.1,BF20,20,100k,100000,Freq#1
48.8,0.5,23.1,BF20,20,100k,100000,Freq#2
48.9,0.4,22.8,BF20,20,100k,100000,Freq#3
48.6,0.4,22.5,BF20,20,100k,100000,Freq#4
48.1,0.4,21.9,BF20,20,100k,100000,Freq#5
53.1,0.5,24.4,BF20,20,100k,100000,H_l#1
50.1,0.4,22.8,BF20,20,100k,100000,H_l#2
51.6,0.5,23.8,BF20,20,100k,100000,H_l#3
53.6,0.5,25.0,BF20,20,100k,100000,H_l#4
52.7,0.5,25.3,BF20,20,100k,100000,H_l#5
26.4,1.4,23.2,BF20,20,100k,100000,MC_AIXI#1
42.1,1.3,21.2,BF20,20,100k,100000,MC_AIXI#2
29.0,1.5,24.8,BF20,20,100k,100000,MC_AIXI#3
42.3,1.3,21.7,BF20,20,100k,100000,MC_AIXI#4
37.4,1.0,16.7,BF20,20,100k,100000,MC_AIXI#5
47.0,0.4,21.4,BF20,20,100k,100000,Q_l#1
47.7,0.4,21.8,BF20,20,100k,100000,Q_l#2
49.2,0.4,22.8,BF20,20,100k,100000,Q_l#3
48.9,0.5,23.8,BF20,20,100k,100000,Q_l#4
46.2,0.5,24.5,BF20,20,100k,100000,Q_l#5
44.5,0.4,21.5,BF20,20,100k,100000,Q_0#1
45.7,0.4,21.8,BF20,20,100k,100000,Q_0#2
46.7,0.4,22.3,BF20,20,100k,100000,Q_0#3
46.8,0.5,23.5,BF20,20,100k,100000,Q_0#4
44.7,0.5,24.0,BF20,20,100k,100000,Q_0#5
38.4,0.4,22.1,BF20,20,3k,3000,Freq#1
39.1,0.4,21.0,BF20,20,3k,3000,Freq#2
40.4,0.4,21.2,BF20,20,3k,3000,Freq#3
41.2,0.4,20.7,BF20,20,3k,3000,Freq#4
41.2,0.4,20.4,BF20,20,3k,3000,Freq#5
