"AIQ","HCI","SD","BF","NOC","EL","NI","AGNT"
40.7,0.5,25.0,BF52,2,1k,1000,H_l#5
38.9,1.3,21.0,BF52,2,1k,1000,MC_AIXI#1
39.6,1.1,18.4,BF52,2,1k,1000,MC_AIXI#2
36.0,1.2,19.1,BF52,2,1k,1000,MC_AIXI#3
33.8,1.2,18.7,BF52,2,1k,1000,MC_AIXI#4
35.0,1.1,17.9,BF52,2,1k,1000,MC_AIXI#5
44.5,0.4,21.6,BF52,2,1k,1000,Q_l#1
44.7,0.4,22.5,BF52,2,1k,1000,Q_l#2
43.8,0.5,23.6,BF52,2,1k,1000,Q_l#3
41.3,0.5,24.9,BF52,2,1k,1000,Q_l#4
39.9,0.5,25.2,BF52,2,1k,1000,Q_l#5
42.3,0.4,21.1,BF52,2,1k,1000,Q_0#1
42.4,0.4,22.2,BF52,2,1k,1000,Q_0#2
41.9,0.5,23.1,BF52,2,1k,1000,Q_0#3
39.4,0.5,24.1,BF52,2,1k,1000,Q_0#4
38.4,0.5,24.5,BF52,2,1k,1000,Q_0#5
43.9,0.5,24.6,BF52,2,10k,10000,Freq#1
44.3,0.5,23.8,BF52,2,10k,10000,Freq#2
44.8,0.5,23.3,BF52,2,10k,10000,Freq#3
44.6,0.4,22.8,BF52,2,10k,10000,Freq#4
44.1,0.4,22.6,BF52,2,10k,10000,Freq#5
53.9,0.5,23.5,BF52,2,10k,10000,H_l#1
51.7,0.4,22.3,BF52,2,10k,10000,H_l#2
53.1,0.4,22.7,BF52,2,10k,10000,H_l#3
53.6,0.5,24.3,BF52,2,10k,10000,H_l#4
52.9,0.5,24.7,BF52,2,10k,10000,H_l#5
50.9,1.4,21.8,BF52,2,10k,10000,MC_AIXI#1
50.8,1.3,20.3,BF52,2,10k,10000,MC_AIXI#2
51.6,1.4,22.1,BF52,2,10k,10000,MC_AIXI#3
47.2,1.3,20.5,BF52,2,10k,10000,MC_AIXI#4
44.0,1.2,18.9,BF52,2,10k,10000,MC_AIXI#5
48.5,0.4,20.8,BF52,2,10k,10000,Q_l#1
48.9,0.4,20.9,BF52,2,10k,10000,Q_l#2
50.6,0.4,22.3,BF52,2,10k,10000,Q_l#3
51.1,0.5,24.3,BF52,2,10k,10000,Q_l#4
47.8,0.5,24.7,BF52,2,10k,10000,Q_l#5
45.8,0.4,19.9,BF52,2,10k,10000,Q_0#1
47.7,0.4,21.0,BF52,2,10k,10000,Q_0#2
49.3,0.4,21.6,BF52,2,10k,10000,Q_0#3
49.3,0.5,23.2,BF52,2,10k,10000,Q_0#4
46.3,0.5,24.4,BF52,2,10k,10000,Q_0#5
47.7,0.5,23.4,BF52,2,100k,100000,Freq#1
48.6,0.4,23.0,BF52,2,100k,100000,Freq#2
48.0,0.4,22.6,BF52,2,100k,100000,Freq#3
47.7,0.4,22.1,BF52,2,100k,100000,Freq#4
47.1,0.4,21.8,BF52,2,100k,100000,Freq#5
54.7,0.4,22.7,BF52,2,100k,100000,H_l#1
51.8,0.4,21.2,BF52,2,100k,100000,H_l#2
53.4,0.4,22.2,BF52,2,100k,100000,H_l#3
55.6,0.5,23.4,BF52,2,100k,100000,H_l#4
55.4,0.5,24.2,BF52,2,100k,100000,H_l#5
52.5,1.4,23.2,BF52,2,100k,100000,MC_AIXI#1
52.7,1.4,22.4,BF52,2,100k,100000,MC_AIXI#2
54.3,1.4,23.3,BF52,2,100k,100000,MC_AIXI#3
49.3,1.4,22.6,BF52,2,100k,100000,MC_AIXI#4
49.7,1.2,19.6,BF52,2,100k,100000,MC_AIXI#5
48.8,0.4,20.9,BF52,2,100k,100000,Q_l#1
49.3,0.4,21.1,BF52,2,100k,100000,Q_l#2
51.7,0.4,21.2,BF52,2,100k,100000,Q_l#3
53.4,0.4,22.8,BF52,2,100k,100000,Q_l#4
53.8,0.5,23.3,BF52,2,100k,100000,Q_l#5
45.9,0.4,18.8,BF52,2,100k,100000,Q_0#1
48.2,0.4,19.5,BF52,2,100k,100000,Q_0#2
50.3,0.4,20.7,BF52,2,100k,100000,Q_0#3
52.7,0.4,21.9,BF52,2,100k,100000,Q_0#4
53.7,0.5,24.1,BF52,2,100k,100000,Q_0#5
42.1,0.5,24.8,BF52,2,3k,3000,Freq#1
42.0,0.5,24.1,BF52,2,3k,3000,Freq#2
42.7,0.5,23.5,BF52,2,3k,3000,Freq#3
42.5,0.5,23.1,BF52,2,3k,3000,Freq#4
42.1,0.4,22.5,BF52,2,3k,3000,Freq#5
52.0,0.5,24.3,BF52,2,3k,3000,H_l#1
51.1,0.4,22.9,BF52,2,3k,3000,H_l#2
